attempt_index,seed,cube_x,cube_y,pick_success,place_success,lift_delta,final_lift_delta,xy_dist,z_margin,num_success_so_far
121,40122,0.545241416758978,0.0667744018053843,True,True,0.09355127712915134,0.09355127712915134,0.01895020328064214,0.029864855199931428,91
122,40123,0.49966429831678666,0.045515554788363055,True,True,0.10249269027481178,0.10249269027481178,0.044528739596648166,0.029892244579782457,92
123,40124,0.5146341286095844,0.020902688790966444,True,True,0.10071642110700463,0.10070517262493017,0.04096188679251817,0.029892244579782457,93
124,40125,0.5193634570495884,0.07236873276839227,True,True,0.09529767260045774,0.09529767260045774,0.02480001298182935,0.029892244579782457,94
125,40126,0.5413992645935243,0.04228553221087357,True,True,0.09974937233834491,0.09957945347331543,0.02319031923677114,0.029892244579782457,95
126,40127,0.5362166139476786,0.07933410350821991,True,True,0.09863112130983831,0.09849182907140741,0.022644225882710912,0.029892244579782457,96
127,40128,0.5338144257156818,0.032425939002334855,True,True,0.10052463022308045,0.10052463022308045,0.023048357620483625,0.029892244579782457,97
128,40129,0.521998446669496,0.06326875237513327,True,True,0.10005190140896314,0.09958562472529242,0.024224460075061675,0.029892244579782457,98
129,40130,0.5282131519611107,0.022808338881251566,True,True,0.10104265983876859,0.10080862210272623,0.043848421314399956,0.029892244579782457,99
130,40131,0.5167995122422896,0.031118751208425055,True,True,0.09962290970216614,0.09962290970216614,0.024328655842973848,0.029892244579782457,100
131,40132,0.4936471718648319,0.027838044697469515,True,True,0.094033192446493,0.094033192446493,0.02072215488888436,0.029892244579782457,101
132,40133,0.5479049566956153,0.06880793982031216,False,False,0.0,0.0,0.13719383852536093,0.019993168965998454,101
133,40134,0.5424291163560723,0.04433887736370206,True,True,0.09447822119317495,0.09446141415507547,0.04266584125785551,0.029892244579782457,102
134,40135,0.5251632782026485,0.04287396175261385,True,True,0.09920173347868433,0.09917321992873984,0.027047560358545508,0.029892244579772465,103
135,40136,0.5353528416149426,0.02624130161420058,True,True,0.09866093805522702,0.09843501418168787,0.024699043919361098,0.029892244579782457,104
136,40137,0.5229176917960349,0.049491365985765964,True,True,0.09942549208663976,0.09942549208663976,0.04692314816178168,0.029892244579782457,105
137,40138,0.5293241160156956,0.07423128586158148,True,True,0.100726557135002,0.100726557135002,0.046406249855079344,0.029892244579782457,106
138,40139,0.5304948043083443,0.028840842127670338,True,True,0.09985992476102656,0.09985992476102656,0.024244220972924994,0.029892244579782457,107
139,40140,0.5355907873626876,0.0333504888182465,True,True,0.10070631818907749,0.10068861640497606,0.04353223462611095,0.029892244579782457,108
140,40141,0.5361551715197612,0.023191497307910154,True,True,0.10034805035988903,0.10034805035988903,0.023074149746624115,0.029892244579782457,109
141,40142,0.534153580250304,0.05492149924186587,False,False,0.0,0.0,0.11375872690856823,0.019993168965998454,109
142,40143,0.5497090300762811,0.06899654927085883,True,True,0.09820693332163866,0.09820693332163866,0.04309118590530496,0.029892244579782457,110
143,40144,0.5391339509019855,0.07724815392652781,True,True,0.09452670738646574,0.09289623753426968,0.023819655261408584,0.029892244579782457,111
144,40145,0.5232301133841135,0.03553647364827515,True,True,0.1010301594126326,0.1010301594126326,0.043364019921116714,0.029892244579782457,112
145,40146,0.49237567599361926,0.054649073788747865,False,False,0.0,0.0,0.09397699522379621,0.019993168965998454,112
146,40147,0.5085111012519115,0.04900683259881254,True,True,0.10087587532770925,0.10087587532770925,0.0447153823029493,0.02989223732502655,113
